time_stamp	px_state	py_state	v_state	yaw_angle_state	yaw_rate_state	sensor_type	NIS	px_measured	py_measured	px_ground_truth	py_ground_truth	vx_ground_truth	vy_ground_truth
1477010451250000	10.0507	20.9526	4.84883	3.27927	0.471563	radar	0.981873	9.97958	21.2932	10.0795	21.0697	-4.86585	-0.552463
1477010451300000	9.83617	20.9229	4.8281	3.3012	0.471857	lidar	1.47699	9.99634	20.9797	9.83658	21.0391	-4.85554	-0.669327
1477010451350000	9.59335	20.9195	4.82579	3.28636	0.375853	radar	1.57114	9.38223	21.111	9.59422	21.0028	-4.84262	-0.785189
1477010451400000	9.38236	20.8753	4.80277	3.30966	0.38381	lidar	1.28252	9.53921	20.8762	9.35258	20.9607	-4.82714	-0.899977
1477010451450000	9.15328	20.8338	4.79933	3.33673	0.411018	radar	1.65253	9.63392	20.9724	9.11177	20.9128	-4.80919	-1.01362
1477010451500000	8.88547	20.7991	4.82712	3.34912	0.398406	lidar	1.78104	8.70331	20.8221	8.87192	20.8594	-4.78881	-1.12605
1477010451550000	8.66279	20.7187	4.82018	3.39124	0.446557	radar	4.76253	9.84634	20.009	8.63315	20.8003	-4.76608	-1.2372
1477010451600000	8.40523	20.632	4.8426	3.42218	0.455777	lidar	2.81917	8.22277	20.4839	8.39557	20.7358	-4.74108	-1.34701
1477010451650000	8.17708	20.5498	4.84329	3.4588	0.490671	radar	0.224261	8.29647	20.4978	8.1593	20.6657	-4.71387	-1.45542
1477010451700000	7.93951	20.47	4.85076	3.48311	0.489685	lidar	0.167146	7.88599	20.45	7.92445	20.5903	-4.68453	-1.56237
1477010451750000	7.72341	20.3814	4.84756	3.52668	0.548088	radar	3.52876	8.29081	20.6565	7.69111	20.5096	-4.65313	-1.66781
1477010451800000	7.44537	20.3206	4.88917	3.53268	0.515316	lidar	4.10203	7.18029	20.392	7.45939	20.4237	-4.61975	-1.7717
1477010451850000	7.21888	20.222	4.89048	3.55722	0.509227	radar	0.250066	7.09214	20.1196	7.22939	20.3326	-4.58448	-1.87399
1477010451900000	6.96421	20.1413	4.91385	3.56878	0.488037	lidar	1.32846	6.81542	20.1859	7.00119	20.2364	-4.54738	-1.97462
1477010451950000	6.7414	20.0483	4.91092	3.58455	0.469424	radar	0.328804	6.89359	20.1536	6.7749	20.1352	-4.50854	-2.07357
1477010452000000	6.49535	19.9608	4.9278	3.59497	0.450165	lidar	0.7944	6.38914	20.0137	6.55059	20.0292	-4.46805	-2.17079
1477010452050000	6.27953	19.8652	4.92214	3.6147	0.452566	radar	2.56859	6.67637	20.2142	6.32834	19.9183	-4.42598	-2.26625
1477010452100000	6.02342	19.7761	4.9473	3.61944	0.426264	lidar	1.64137	5.86119	19.8306	6.10823	19.8027	-4.38241	-2.35993
1477010452150000	5.8128	19.624	4.95754	3.67589	0.510079	radar	2.4473	5.28178	19.5036	5.89034	19.6824	-4.33744	-2.45178
1477010452200000	5.61262	19.5048	4.94594	3.69983	0.509136	lidar	0.563648	5.69089	19.5755	5.67472	19.5577	-4.29114	-2.5418
1477010452250000	5.41597	19.3531	4.94378	3.73824	0.53288	radar	1.58937	5.9506	18.9859	5.46145	19.4284	-4.24359	-2.62995
1477010452300000	5.19234	19.2549	4.94695	3.74258	0.502535	lidar	1.91499	5.17021	19.4397	5.25059	19.2948	-4.19488	-2.71622
1477010452350000	4.9884	19.1446	4.93179	3.74028	0.438471	radar	4.28696	5.87397	19.301	5.04219	19.157	-4.1451	-2.80059
1477010452400000	4.80759	18.9933	4.91915	3.77164	0.452677	lidar	0.402359	4.89149	18.982	4.8363	19.015	-4.09432	-2.88305
1477010452450000	4.6081	18.8418	4.92666	3.80404	0.482468	radar	1.53553	3.98679	19.0452	4.63297	18.8689	-4.04263	-2.96359
1477010452500000	4.41687	18.7103	4.91763	3.81974	0.471837	lidar	0.921596	4.4685	18.834	4.43224	18.7188	-3.99012	-3.0422
